Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
1043,-875,1000,7.192373344,0.194515908,1.543482214
1044,-1166,1000,6.914969952,0.169681486,3.443950397
1045,-1458,1000,6.571737345,0.180914478,2.151681267
1046,-1750,1000,6.118384342,0.171936752,4.350963017
1047,-2041,1000,5.649182449,0.170372815,3.313947159
1048,-2333,1000,5.080599605,0.15211933,1.949297448
1049,-2625,1000,4.445292996,0.15185484,4.662335867
1050,-2916,1000,3.723163852,0.149733849,3.802034321
1051,-3208,1000,3.642890204,0.153342568,1.338337936
1052,-3500,1000,3.249302456,0.149573938,2.792178106
1061,291,1000,7.153008188,0.192278907,2.266342971
1062,583,1000,5.798739208,0.165086073,1.757072178
1063,875,1000,4.889310705,0.164626139,5.228207285
1064,1166,1000,4.29337211,0.143552976,2.622062166
1065,1458,1000,3.756453595,0.151630768,2.999176326
1066,1750,1000,3.455209802,0.141938902,2.588126745
1067,2041,1000,3.319681085,0.146669106,4.060093462
1068,2333,1000,3.159726585,0.131437498,3.758823961
1069,2625,1000,3.136150407,0.138846505,2.72593555
1070,2916,1000,2.877025126,0.145032782,2.042393877
1071,3208,1000,2.888766169,0.136995018,4.419758818
1072,3500,1000,2.830787587,0.1444597,3.588725184
1081,-375,1500,7.634593584,0.184253539,4.588252331
1082,-750,1500,7.584392261,0.187859767,1.817238386
1083,-1125,1500,7.044379572,0.182762558,1.705410426
1084,-1500,1500,6.612523122,0.192087153,2.341310546
1085,-1875,1500,5.911506276,0.179564016,2.174661168
1086,-2250,1500,5.547454138,0.15598601,2.559748707
1087,-2625,1500,4.738129544,0.148752378,3.834668354
1088,-3000,1500,4.076314396,0.155033797,2.2479568
1089,-3375,1500,3.654557757,0.153671937,1.394234518
1090,-3750,1500,3.563314349,0.135333726,2.536501608
1092,-4500,1500,3.132366361,0.132892597,2.518373997
1101,375,1500,6.559540634,0.173915175,2.952933601
1102,750,1500,5.51518858,0.183584151,3.433943808
1103,1125,1500,4.740242807,0.155888218,2.930969957
1104,1500,1500,4.346287777,0.166373736,1.778955694
1105,1875,1500,3.865681512,0.146586693,3.980633215
1106,2250,1500,3.515901114,0.149541289,1.246039143
1107,2625,1500,3.442605787,0.147359128,2.474076156
1108,3000,1500,3.228092184,0.134765508,4.774942324
1109,3375,1500,3.286763037,0.132551373,4.678702049
1110,3750,1500,3.174246935,0.132039195,7.729878763
1112,4500,1500,3.014659815,0.157742207,2.672857738
