Index,Offset,SLP,Dly,nInt,nInt_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc
0.0,-1000.0,200.0,0.05,0.8382568022101942,0.009930873245874052,0.8341764492293504,0.008310943116332169,-9.958560814054639e-21,0.1632568368633633,-0.00020127778131095154,-0.8180450311073272,0.0023656212683448013,0.0006209779656758172,-0.008002407971638512,4.670531737116992e-19,-8.429285878839467e-19,1.0356641392597286e-19
0.0,-1000.0,200.0,0.055,0.8363181834633024,0.009815984825823626,0.8200029851662165,0.00816974219195532,2.990444922967305e-21,0.16047227252303176,-0.00017502313411759337,-0.8041477900087682,0.0023252582415508286,0.0006104964752625689,-0.00786648332325033,1.6490380222948554e-20,9.069222825730832e-20,2.484086412827591e-22
0.0,-1000.0,200.0,0.06,0.8299570476886262,0.010197505141726336,0.8060703413937035,0.008030939022029605,-9.720704819201976e-21,0.1577364889070812,-0.00015235621925953664,-0.7904863822375622,0.0022856042486142287,0.0006001835096713647,-0.007732862107437698,2.1393780551114276e-19,-1.1903891124111799e-18,5.2700773814025816e-20
0.0,-1000.0,200.0,0.065,0.7963615752658163,0.009880513408660741,0.7923744262291431,0.007894493057133583,-9.402416624176922e-21,0.15504845517670934,-0.00013278384576823472,-0.7770568412475156,0.0022466440467802896,0.0005900375215917827,-0.007601506020293323,1.5528913563642846e-19,-3.676754439528021e-19,4.0646448295607164e-20
0.0,-1000.0,200.0,0.07,0.7840946305843564,0.010571316030956667,0.7789112174994197,0.007760364410575565,-3.4592092518619785e-21,0.15240718580049986,-0.00011588066962647128,-0.763855262317071,0.0022083630919369655,0.0005800568089339094,-0.007472377294035762,4.645770939332085e-19,-7.792315584106088e-19,9.64431338820107e-20
0.0,-1000.0,200.0,0.075,0.775779445203169,0.010288702300301546,0.765676761361639,0.007628513850743985,5.3535515880814716e-21,0.14981173596088523,-0.00010127985939663588,-0.7508778022653276,0.002170747466255474,0.0005702395423704217,-0.007345438703680188,3.553936409670765e-19,1.5372121136242527e-19,6.561915539048469e-20
0.0,-1000.0,200.0,0.08,0.7600623034619858,0.00997482645970021,0.7526671711434207,0.007498902793089621,-1.429046901365781e-20,0.14726119756469847,-8.866504608388284e-05,-0.7381206790672569,0.002133783815383214,0.0005605837889822097,-0.00722065357142324,1.4025823938484058e-18,-1.495671037852813e-18,2.9508995484148804e-19
0.0,-1000.0,200.0,0.085,0.7534997546391579,0.010080291870563033,0.7398786262030297,0.007371493291818628,6.034066155932376e-21,0.14475469577526776,-7.776338054823067e-05,-0.7255801713848405,0.0020974592938806528,0.0005510875325477952,-0.00709798576908417,1.5764577724034308e-18,-7.610269248156883e-20,3.0913799026560443e-19
0.0,-1000.0,200.0,0.09,0.7340656578246039,0.010227876233209962,0.7273073708083764,0.007246248031354388,6.492545862881326e-21,0.14229138599464916,-6.833954608762783e-05,-0.7132526180274251,0.0020617615177753955,0.0005417486909374641,-0.0069773997188867865,1.1217444770809628e-18,-5.849161166037667e-20,2.17727771806647e-19
0.0,-1000.0,200.0,0.095,0.7230342606905723,0.010234079359600839,0.7149497130351572,0.0071231303176275945,-5.394958602781618e-21,0.13987045123462177,-6.019059477597184e-05,-0.7011344173538414,0.002026678523259662,0.0005325651310144067,-0.006858860392837563,4.463102197623379e-19,-3.769444083734334e-19,9.476384379058933e-20
0.0,-1000.0,200.0,0.1,0.7087978247659972,0.010328839571892368,0.702802023683459,0.007002104069238756,-2.2135406146918343e-20,0.13749109982334787,-5.314149422586434e-05,-0.6892220266262217,0.001992198730694028,0.0005235346813864252,-0.006742333310912366,5.885107369927772e-19,-1.0771021454473264e-18,1.402759209754431e-19
0.0,-1000.0,200.0,0.105,0.7074426755939215,0.010097175629946737,0.6908607352126769,0.006883133808533547,7.727624193431166e-21,0.13515256340197826,-4.704128703196576e-05,-0.6775119613245039,0.0019583109131923048,0.0005146551433054292,-0.006627784538238095,-8.771668864577762e-19,-1.3059695227349603e-19,-1.833140386027587e-19
0.0,-1000.0,200.0,0.11,0.6748397163883588,0.010172217913799245,0.6791223406944777,0.006766184652626323,4.8012691960388606e-21,0.13285409517175406,-4.175977860283331e-05,-0.6660007944292391,0.0019250041691651865,0.0005059242999718312,-0.006515180681429692,2.082840963841793e-20,1.134103268021517e-19,-7.306711364392326e-22
0.0,-1000.0,200.0,0.115,0.6794112470607638,0.009940221304079969,0.6675833927835019,0.006651222304399684,4.379252347748634e-21,0.13059496835757073,-3.718468068315763e-05,-0.6546851556791964,0.0018922678982823493,0.0004973399244650664,-0.0064044888842190425,-1.4402608253427454e-19,6.225883939235615e-19,-3.327119514207837e-20
0.0,-1000.0,200.0,0.12,0.6597419155673088,0.01032925615788894,0.6562405027052862,0.0065382130435032385,-1.6998800381910828e-20,0.12837447485859266,-3.321914787629082e-05,-0.6435617308091202,0.001860091780390082,0.0004888997864897661,-0.006295676822491961,2.526072851705632e-19,-1.4022123420493496e-18,6.785690000511901e-20
0.0,-1000.0,200.0,0.125,0.6677116769519447,0.010265167249712647,0.6450903392615982,0.0064271237173769286,1.8067053928931627e-20,0.1261919240606891,-2.977965308952806e-05,-0.632627260772878,0.0018284657569835655,0.000480601658103066,-0.006188712698839278,-9.396274954955569e-19,1.3181462027831432e-19,-2.063503512064625e-19
0.0,-1000.0,200.0,0.13,0.6315603363362232,0.010259485932002517,0.6341296278525241,0.006317921732313022,-1.305020273221022e-20,0.12404664178876572,-2.679415528136297e-05,-0.6218785409557172,0.0017973800148886091,0.00047244331856498273,-0.006083565236705484,1.8380719490322706e-19,-4.1365649780147385e-19,5.0070086658221773e-20
0.0,-1000.0,200.0,0.135,0.6514788130014623,0.009776678894339854,0.6233551495148627,0.006210575044569262,-2.0310383226653466e-20,0.12193796938010915,-2.4200519289065753e-05,-0.6113124203789447,0.0017668249718521102,0.0004644225584328991,-0.005980203674207788,1.1137563845349353e-18,-1.1149354761196161e-18,2.434638849872378e-19
0.0,-1000.0,200.0,0.14,0.6207440058457928,0.009620119321547042,0.6127637399773114,0.006105052151554581,-6.71707919119632e-21,0.11986526286262773,-2.19451530579878e-05,-0.6009258009007556,0.001736791263789029,0.0004565371830068132,-0.005878597757697879,5.169502981238555e-19,-8.5269619959054e-19,1.1024016319882273e-19
0.0,-1000.0,200.0,0.145,0.611904010934537,0.009659401577507156,0.6023522887312999,0.00600132208308773,-1.6327795596379258e-20,0.11782789222378519,-1.9981832361615085e-05,-0.5907156364148777,0.001707269733458859,0.00044878501521529007,-0.005778717735112155,6.338782435575351e-20,-3.1059923700831623e-19,2.9328714543129136e-20
0.0,-1000.0,200.0,0.15,0.6011824742219763,0.010456212898627023,0.5921177381176069,0.005899354392742446,6.3165666376335345e-21,0.11582524075819998,-1.8270687215898966e-05,-0.58067893204958,0.0016782514203830222,0.00044116389802104815,-0.005680534349162005,3.809980717392607e-19,1.5679037754936797e-19,6.975795503901164e-20
0.0,-1000.0,200.0,0.155,0.5890772244633167,0.01006743888404485,0.582057082428682,0.005799119149287797,-1.955469741279368e-20,0.1138567044834911,-1.6777327744504047e-05,-0.5708127433690485,0.001649727551837491,0.0004336716964133164,-0.005584018830406115,6.975114904677394e-19,-9.926251345280025e-19,1.5944425483159534e-19
0.0,-1000.0,200.0,0.16,0.6041797103667601,0.009718675739215532,0.572167367026022,0.00570058692822558,-2.4210932400411172e-20,0.11192169161528157,-1.5472090305560078e-05,-0.5611141755782819,0.0016216895347774948,0.00042630629904569787,-0.005489142890235338,1.45917948115816e-18,-1.5386540341255845e-18,3.165262995820265e-19
0.0,-1000.0,200.0,0.165,0.5509217857034483,0.00968113570867674,0.5624456874725967,0.005603728803432111,-1.1714058637976009e-20,0.11001962209362282,-1.4329387336918532e-05,-0.5515803827330513,0.0015941289485712545,0.00041906561956925504,-0.0053958787138022055,1.7921883029056484e-19,-6.845879095362915e-19,4.778980877379493e-20
