offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
-6.356783919597992281e+02,8.000000000000000000e+02,-2.994396963789074107e+03,-2.994396963789074107e+03,-1.402638948211688330e+01,-1.402638948211688330e+01,-8.194443270508291022e+00,-2.998700696792670442e+03,-4.285599872896909801e+00,-4.285599872896909801e+00,-4.083641121986618217e+00
-6.909547738693463543e+02,8.000000000000000000e+02,-2.994397572720997232e+03,-2.994397572720997232e+03,-1.412642260449715081e+01,-1.412642260449715081e+01,-7.718873835636767211e+00,-2.998974982118930711e+03,-3.982765042041684467e+00,-4.336037912870324362e+00,-4.336037912870324362e+00
-7.462311557788943901e+02,8.000000000000000000e+02,-2.994398171924524831e+03,-2.994398171924524831e+03,-1.421714156928646844e+01,-1.421714156928646844e+01,-7.281518546252489621e+00,-2.999229701071685668e+03,-4.383704417520675634e+00,-4.383704417520675634e+00,-3.887432032740222532e+00
-8.015075376884424259e+02,8.000000000000000000e+02,-2.994398760787415995e+03,-2.994398760787415995e+03,-1.429899349526613150e+01,-1.429899349526613150e+01,-6.881337801907680074e+00,-2.999465000238295943e+03,-4.428433035528314576e+00,-4.428433035528314576e+00,-3.797974796723836644e+00
-8.567839195979895521e+02,8.000000000000000000e+02,-2.994399338844598788e+03,-2.994399338844598788e+03,-1.437258790669079644e+01,-1.437258790669079644e+01,-6.516560257567464376e+00,-2.999681432845412928e+03,-4.470175759862286213e+00,-4.470175759862286213e+00,-3.714489348055863616e+00
-9.120603015075377016e+02,8.000000000000000000e+02,-2.994399905754541578e+03,-2.994399905754541578e+03,-1.443861490778772350e+01,-1.443861490778772350e+01,-6.184968594449953727e+00,-2.999879836686448471e+03,-4.508970526404482371e+00,-4.508970526404482371e+00,-3.636899814969861033e+00
-9.673366834170856237e+02,8.000000000000000000e+02,-2.994400461279317824e+03,-2.994400461279317824e+03,-1.449778781999305011e+01,-1.449778781999305011e+01,-5.884114768131690987e+00,-3.000061233638807153e+03,-4.544914745275029588e+00,-4.544914745275029588e+00,-3.565011377229581946e+00
-1.022613065326632750e+03,8.000000000000000000e+02,-2.994401005267830442e+03,-2.994401005267830442e+03,-1.455080530166173958e+01,-1.455080530166173958e+01,-5.611475212422883274e+00,-3.000226750254159469e+03,-4.578144521640226117e+00,-4.578144521640226117e+00,-3.498551824499647633e+00
-1.077889447236180786e+03,8.000000000000000000e+02,-2.994401537641632785e+03,-2.994401537641632785e+03,-1.459832811602177571e+01,-1.459832811602177571e+01,-5.364557769056767178e+00,-3.000377557321198765e+03,-4.608818884803895344e+00,-4.608818884803895344e+00,-3.437203098174637539e+00
-1.133165829145728821e+03,8.000000000000000000e+02,-2.994402058382951509e+03,-2.994402058382951509e+03,-1.464096639547187806e+01,-1.464096639547187806e+01,-5.140971467843596265e+00,-3.000514825580872639e+03,-4.637108184552289458e+00,-4.637108184552289458e+00,-3.380624498674803746e+00
-1.188442211055275948e+03,8.000000000000000000e+02,-2.994402567524512051e+03,-2.994402567524512051e+03,-1.467927409783578696e+01,-1.467927409783578696e+01,-4.938468738494024457e+00,-3.000639694622366278e+03,-4.663185816925306426e+00,-4.663185816925306426e+00,-3.328469233929346682e+00
-1.243718592964823983e+03,8.000000000000000000e+02,-2.994403065140943909e+03,-2.994403065140943909e+03,-1.471374816344700776e+01,-1.471374816344700776e+01,-4.754967827301676664e+00,-3.000753252169482494e+03,-4.687222527521953452e+00,-4.687222527521953452e+00,-3.280395812736358607e+00
-1.298994974874372019e+03,8.000000000000000000e+02,-2.994403551341417369e+03,-2.994403551341417369e+03,-1.474483057359884697e+01,-1.474483057359884697e+01,-4.588561461388584561e+00,-3.000856521314132806e+03,-4.709382659001676075e+00,-4.709382659001676075e+00,-3.236075549776293858e+00
-1.354271356783919146e+03,8.000000000000000000e+02,-2.994404026263513515e+03,-2.994404026263513515e+03,-1.477291205745314073e+01,-1.477291205745314073e+01,-4.437516305345886813e+00,-3.000950453658270362e+03,-4.729821831481103800e+00,-4.729821831481103800e+00,-3.195197204819035353e+00
