Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_STD, R1p_err_MC, red. chi-sq
1025,1562,1250,4.77907632323,0.0762198348852,21.8392338867
1026,1875,1250,4.10622161657,0.0770602947708,25.2047086407
1027,2187,1250,3.69020726119,0.0846905537055,24.3754710832
1028,2500,1250,3.40676645466,0.079004428416,29.8743489688
1029,2812,1250,3.07366645908,0.0796784220006,24.5163139103
1030,3125,1250,2.93386334116,0.0788340726777,30.0969542433
1031,3437,1250,2.86478492746,0.0781978494584,30.3130730471
1032,3750,1250,2.65715367873,0.0741144848847,35.2126926302
1041,-131,600,13.3265721446,0.128849003744,12.3308717732
1042,-262,600,12.8368272894,0.145229765818,12.4644523694
1043,-393,600,11.8252738111,0.120480655398,9.9210626017
1044,-525,600,10.591265975,0.118032502177,14.6231002332
1045,-656,600,9.20801063275,0.116871904267,18.9618587947
1046,-787,600,8.2248318216,0.107672045013,9.22957269294
1047,-918,600,7.2666072669,0.0920616898848,29.3634605468
1048,-1050,600,6.46160115294,0.094470944028,18.1961191531
1049,-1181,600,5.73739052138,0.0888090960518,20.1039546939
1050,-1312,600,5.21369232925,0.0844320227821,24.1220995761
1051,-1443,600,4.82342079037,0.0895616889264,18.68432679
1052,-1575,600,4.38562619275,0.0765238815858,18.7650301723
1061,131,600,11.7105190781,0.129338408553,11.5580637304
1062,262,600,10.1982787617,0.122872544603,10.6210159742
1063,393,600,8.52596019485,0.105572707308,16.4292747958
1064,525,600,6.99419648522,0.0900764351186,17.299048797
1065,656,600,5.89994139444,0.0873426865542,26.4316113676
1066,787,600,5.09007051789,0.0962354616662,17.59218275
1067,918,600,4.46353861774,0.0819201883624,26.2141111891
1068,1050,600,3.98733289078,0.0749621262944,29.33552291
1069,1181,600,3.65833844636,0.0735714375954,33.3624766924
1070,1312,600,3.37525142274,0.078268862529,27.4677270778
1071,1443,600,3.22227539581,0.0724222128666,27.9118059042
1072,1575,600,2.95941082102,0.0734239443598,36.1533528119
1081,-291,1000,12.3511161962,0.137040920987,12.9905810927
1082,-583,1000,11.1327942216,0.125558823989,13.276202209
1083,-875,1000,9.61346974117,0.116167550195,14.4189049105
1084,-1166,1000,8.1655899859,0.109789272862,10.895378895
1085,-1458,1000,6.8572570401,0.097460830968,17.4849572968
1086,-1750,1000,5.76591665338,0.0844017355068,20.6621960389
1087,-2041,1000,5.00810983872,0.091309119461,24.7644823464
1088,-2333,1000,4.40834196112,0.0814576328571,27.1602804973
1089,-2625,1000,3.81786452735,0.0754976277451,27.3711612277
1090,-2916,1000,3.50491891807,0.0801245963182,25.3585880877
1091,-3208,1000,3.18862083947,0.0808957666888,42.1453631673
1092,-3500,1000,2.97567930762,0.0687944498472,29.9512235888
1101,291,1000,10.2048604216,0.121123338626,7.26461842462
1102,583,1000,8.27823216053,0.109945152565,13.3100397143
1103,875,1000,6.5385643687,0.0965535880793,16.8561999283
1104,1166,1000,5.21940485943,0.0855461392659,21.0361357449
1105,1458,1000,4.43330081631,0.0833770006256,20.9041207376
1106,1750,1000,3.77289591879,0.0798387334035,31.7263519603
1107,2041,1000,3.38228656778,0.0788615463052,29.0532150176
1108,2333,1000,3.05288500585,0.077122264459,33.77174072
1109,2625,1000,2.86654078314,0.0739230931373,29.7577196922
1110,2916,1000,2.75648597881,0.0750952987595,28.352829441
1111,3208,1000,2.67971260802,0.0728560588548,33.0512786395
1112,3500,1000,2.59096293883,0.0708625855653,36.0770028507
1121,-10,1800,10.7912369422,0.116187718552,23.8534869724
1122,-490,1800,10.9937930235,0.126117656341,15.8660050762
1123,-981,1800,9.96156822977,0.115108510347,12.5990693982
