Name,FitNum,RedChiSq,lf,AlignMag,pB,pC,dwB,dwC,kexAB,kexAC,kexBC,R1,R1b,R1c,R2,R2b,R2c,pB_err,pC_err,dwB_err,dwC_err,kexAB_err,kexAC_err,kexBC_err,R1_err,R1b_err,R1c_err,R2_err,R2b_err,R2c_err,
dG6C1p-mc,40,248.865563026,150.784627,auto,0.001,0.0,9.999999999,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.123003494833,0.0,35.1685830322,0.0,143647.248763,0.0,0.0,3.27637053645,3.27637053645,3.27637053645,13.5474335759,13.5474335759,13.5474335759,
dG6C1p-mc,41,248.021675544,150.784627,auto,0.01,0.0,1.0000000001,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.189003761332,0.0,10.5575063537,0.0,18252.663254,0.0,0.0,3.22576937887,3.22576937887,3.22576937887,11.6544989521,11.6544989521,11.6544989521,
dG6C1p-mc,42,225.203523805,150.784627,auto,0.01,0.0,2.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0359322927044,0.0,4.08446641524,0.0,6417.96174338,0.0,0.0,3.19528452031,3.19528452031,3.19528452031,11.6513983565,11.6513983565,11.6513983565,
dG6C1p-mc,43,202.499573765,150.784627,auto,0.01,0.0,3.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0212948682946,0.0,2.83395543948,0.0,4124.6659183,0.0,0.0,3.05946718904,3.05946718904,3.05946718904,11.154537669,11.154537669,11.154537669,
dG6C1p-mc,44,185.786821851,150.784627,auto,0.01,0.0,4.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0241718125694,0.0,2.35551492411,0.0,4234.25210336,0.0,0.0,2.9430925417,2.9430925417,2.9430925417,10.9610080746,10.9610080746,10.9610080746,
dG6C1p-mc,45,175.760756895,150.784627,auto,0.01,0.0,5.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0333373061687,0.0,2.1164497455,0.0,5014.53429549,0.0,0.0,2.82143212873,2.82143212873,2.82143212873,11.3184494964,11.3184494964,11.3184494964,
dG6C1p-mc,46,171.092183541,150.784627,auto,0.01,0.0,6.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0322614615836,0.0,2.24735921723,0.0,4559.23980665,0.0,0.0,2.76562162593,2.76562162593,2.76562162593,10.3692064418,10.3692064418,10.3692064418,
dG6C1p-mc,47,170.253833301,150.784627,auto,0.01,0.0,7.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0454073157616,0.0,2.26355873208,0.0,5994.64826525,0.0,0.0,2.76624323305,2.76624323305,2.76624323305,10.8549599965,10.8549599965,10.8549599965,
dG6C1p-mc,48,171.417044224,150.784627,auto,0.01,0.0,8.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0552776763888,0.0,2.50091620866,0.0,6923.77389302,0.0,0.0,2.73921684075,2.73921684075,2.73921684075,10.5734584077,10.5734584077,10.5734584077,
dG6C1p-mc,49,173.292445293,150.784627,auto,0.01,0.0,9.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0735861887471,0.0,2.76070001173,0.0,8851.92621991,0.0,0.0,2.73753767757,2.73753767757,2.73753767757,10.723627734,10.723627734,10.723627734,
dG6C1p-mc,50,175.29603406,150.784627,auto,0.01,0.0,9.999999999,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.103753058003,0.0,2.9298797441,0.0,12101.4098029,0.0,0.0,2.73803058723,2.73803058723,2.73803058723,11.4085068911,11.4085068911,11.4085068911,
dG6C1p-mc,51,175.361283864,150.784627,auto,0.0999999999,0.0,1.0000000001,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.151379497984,0.0,0.794684085522,0.0,1639.33363555,0.0,0.0,2.71311000707,2.71311000707,2.71311000707,9.77674213347,9.77674213347,9.77674213347,
dG6C1p-mc,52,70.8263668194,150.784627,auto,0.0999999999,0.0,2.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0186571356337,0.0,0.206971747223,0.0,366.652056997,0.0,0.0,1.79040082851,1.79040082851,1.79040082851,6.5586002488,6.5586002488,6.5586002488,
dG6C1p-mc,53,49.5552035558,150.784627,auto,0.0999999999,0.0,3.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0102105482783,0.0,0.124451937593,0.0,199.379560349,0.0,0.0,1.50447047761,1.50447047761,1.50447047761,5.51054267734,5.51054267734,5.51054267734,
dG6C1p-mc,54,78.8818836444,150.784627,auto,0.0999999999,0.0,4.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0157603628626,0.0,0.138605654356,0.0,267.783420489,0.0,0.0,1.8810560399,1.8810560399,1.8810560399,7.12652786893,7.12652786893,7.12652786893,
dG6C1p-mc,55,166.296388889,150.784627,auto,0.0999999999,0.0,5.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0343136884884,0.0,0.188878617173,0.0,501.476423291,0.0,0.0,2.66800436262,2.66800436262,2.66800436262,11.4054495213,11.4054495213,11.4054495213,
dG6C1p-mc,56,315.613938553,150.784627,auto,0.0999999999,0.0,6.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0439466505421,0.0,0.28043210692,0.0,609.84598124,0.0,0.0,3.63572172337,3.63572172337,3.63572172337,14.3937651596,14.3937651596,14.3937651596,
dG6C1p-mc,57,469.99432438,150.784627,auto,0.0999999999,0.0,7.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.0789560761813,0.0,0.342562066343,0.0,1020.29978231,0.0,0.0,4.3959131241,4.3959131241,4.3959131241,18.641298387,18.641298387,18.641298387,
dG6C1p-mc,58,614.405311596,150.784627,auto,0.0999999999,0.0,8.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.104699479447,0.0,0.43717211148,0.0,1288.42466806,0.0,0.0,5.02315908964,5.02315908964,5.02315908964,20.3331791055,20.3331791055,20.3331791055,
dG6C1p-mc,59,720.950996412,150.784627,auto,0.0999999999,0.0,9.0,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.143175142731,0.0,0.523979522076,0.0,1695.44202885,0.0,0.0,5.54013742188,5.54013742188,5.54013742188,21.6398102337,21.6398102337,21.6398102337,
dG6C1p-mc,60,790.059256846,150.784627,auto,0.0999999999,0.0,9.999999999,0.0,1000.0000001,0.0,0.0,2.5,2.5,2.5,16.0,16.0,16.0,0.197294985143,0.0,0.577914601663,0.0,2267.44156397,0.0,0.0,6.10738501618,6.10738501618,6.10738501618,23.0216861036,23.0216861036,23.0216861036,
dG6C1p-mc,61,0.192915864125,150.784627,auto,0.059115242687,0.0,4.41170682336,0.0,1119.77280018,0.0,0.0,1.60684403986,1.60684403986,1.60684403986,13.2491796446,13.2491796446,13.2491796446,0.000767476349436,0.0,0.0109330152239,0.0,24.9157948674,0.0,0.0,0.0948186800686,0.0948186800686,0.0948186800686,0.384621835649,0.384621835649,0.384621835649,
