offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
1.155778894472360889e+02,2.000000000000000000e+02,-9.775936693742501120e+02,-9.775936693742501120e+02,-4.898561838024795634e+01,-4.898561838024795634e+01,-9.714755687898979204e+02,-5.936585570110760557e+01,-1.549356619965824322e+01,-1.325321690017059950e+01,-1.325321690017059950e+01
1.055276381909547041e+02,2.000000000000000000e+02,-9.772756924484906449e+02,-9.772756924484906449e+02,-4.877810202472471701e+01,-4.877810202472471701e+01,-6.010083170760255200e+01,-9.717915793459644647e+02,-1.607997025562368876e+01,-1.296001487218825332e+01,-1.296001487218825332e+01
9.547738693467329085e+01,2.000000000000000000e+02,-9.769948197623309625e+02,-9.769948197623309625e+02,-4.855661023573662760e+01,-4.855661023573662760e+01,-6.073615761446858841e+01,-9.721609823893927569e+02,-1.267044485623651440e+01,-1.267044485623651440e+01,-1.665911028752737977e+01
8.542713567839189182e+01,2.000000000000000000e+02,-9.767475187794702833e+02,-9.767475187794702833e+02,-4.833514338945099098e+01,-4.833514338945099098e+01,-6.124693460163263126e+01,-9.725877410605243085e+02,-1.238868304691519029e+01,-1.238868304691519029e+01,-1.722263390616963719e+01
7.537688442211049278e+01,2.000000000000000000e+02,-9.765301260764786093e+02,-9.765301260764786093e+02,-4.812851694872517783e+01,-4.812851694872517783e+01,-6.160760591639778028e+01,-9.730751080331936009e+02,-1.776119972803243030e+01,-1.211940013598376709e+01,-1.211940013598376709e+01
6.532663316582909374e+01,2.000000000000000000e+02,-9.763391103258065868e+02,-9.763391103258065868e+02,-4.795166064222749469e+01,-4.795166064222749469e+01,-9.736253988300084075e+02,-6.179305923392479372e+01,-1.826470067461072233e+01,-1.186764966269441857e+01,-1.186764966269441857e+01
5.527638190954769470e+01,2.000000000000000000e+02,-9.761712088615895482e+02,-9.761712088615895482e+02,-4.781892667105356054e+01,-4.781892667105356054e+01,-9.742397832353801732e+02,-6.177994569933381541e+01,-1.872259455961888008e+01,-1.163870272019056529e+01,-1.163870272019056529e+01
4.522613065326629567e+01,2.000000000000000000e+02,-9.760234855528899516e+02,-9.760234855528899516e+02,-4.774339005553178339e+01,-4.774339005553178339e+01,-6.154813676609513351e+01,-9.749181120170611621e+02,-1.143783127476069694e+01,-1.143783127476069694e+01,-1.912433745047877665e+01
3.517587939698478294e+01,2.000000000000000000e+02,-9.758933422980974228e+02,-9.758933422980974228e+02,-4.773616056633080973e+01,-4.773616056633080973e+01,-6.108219817770982019e+01,-9.756587960934309649e+02,-1.945989987446137093e+01,-1.127005006276922927e+01,-1.127005006276922927e+01
2.512562814070338746e+01,2.000000000000000000e+02,-9.757785049716646881e+02,-9.757785049716646881e+02,-4.780575443560796600e+01,-4.780575443560796600e+01,-9.764587529397141452e+02,-6.037272824574177577e+01,-1.972032927067560593e+01,-1.113983536466210467e+01,-1.113983536466210467e+01
1.507537688442198487e+01,2.000000000000000000e+02,-9.756769967186428403e+02,-9.756769967186428403e+02,-4.795759046356704403e+01,-4.795759046356704403e+01,-5.941739528441245710e+01,-9.773134303511692451e+02,-1.989830752167693362e+01,-1.105084623916133069e+01,-1.105084623916133069e+01
5.025125628140585832e+00,2.000000000000000000e+02,-9.755871062702950667e+02,-9.755871062702950667e+02,-4.819367587711283818e+01,-4.819367587711283818e+01,-9.782169110707359323e+02,-5.822152463444658821e+01,-1.998864381824613190e+01,-1.100567809087675286e+01,-1.100567809087675286e+01
-5.025125628140813205e+00,2.000000000000000000e+02,-9.755073556383040341e+02,-9.755073556383040341e+02,-4.851253164291199482e+01,-4.851253164291199482e+01,-9.791620940841150968e+02,-5.679813135345352038e+01,-1.998864381824616032e+01,-1.100567809087681326e+01,-1.100567809087681326e+01
-1.507537688442221224e+01,2.000000000000000000e+02,-9.754364695020350382e+02,-9.754364695020350382e+02,-4.890937779917216233e+01,-4.890937779917216233e+01,-5.516736466020112317e+01,-9.801409407373854492e+02,-1.989830752167714678e+01,-1.105084623916150477e+01,-1.105084623916150477e+01
-2.512562814070361128e+01,2.000000000000000000e+02,-9.753733473806703387e+02,-9.753733473806703387e+02,-4.937656319953282491e+01,-4.937656319953282491e+01,-9.811447674584894685e+02,-5.335541138110348669e+01,-1.972032927067557395e+01,-1.113983536466213309e+01,-1.113983536466213309e+01
-3.517587939698501032e+01,2.000000000000000000e+02,-9.753170389745155262e+02,-9.753170389745155262e+02,-4.990418935253072164e+01,-4.990418935253072164e+01,-5.139298057475395609e+01,-9.821645627711545785e+02,-1.945989987446139935e+01,-1.127005006276937138e+01,-1.127005006276937138e+01
-4.522613065326640935e+01,2.000000000000000000e+02,-9.752667226688352002e+02,-9.752667226688352002e+02,-5.048085286259629356e+01,-5.048085286259629356e+01,-4.931354389175962893e+01,-9.831913050453761116e+02,-1.143783127476046957e+01,-1.143783127476046957e+01,-1.912433745047892586e+01
-5.527638190954780839e+01,2.000000000000000000e+02,-9.752216869928852248e+02,-9.752216869928852248e+02,-5.109442053851137189e+01,-5.109442053851137189e+01,-4.715152588736083317e+01,-9.842162590498446662e+02,-1.163870272019041607e+01,-1.163870272019041607e+01,-1.872259455961899022e+01
-6.532663316582920743e+01,2.000000000000000000e+02,-9.751813147374382424e+02,-9.751813147374382424e+02,-5.173275648340373323e+01,-5.173275648340373323e+01,-9.852312333647388414e+02,-4.494062419357486249e+01,-1.826470067461080404e+01,-1.186764966269441857e+01,-1.186764966269441857e+01
-7.537688442211060647e+01,2.000000000000000000e+02,-9.751450694081382835e+02,-9.751450694081382835e+02,-5.238433829978345102e+01,-5.238433829978345102e+01,-4.271239835220785608e+01,-9.862287862319502665e+02,-1.211940013598371024e+01,-1.211940013598371024e+01,-1.776119972803238056e+01
-8.542713567839200550e+01,2.000000000000000000e+02,-9.751124837000191974e+02,-9.751124837000191974e+02,-5.303872427312285254e+01,-5.303872427312285254e+01,-4.049521056550480580e+01,-9.872023734882130839e+02,-1.238868304691504463e+01,-1.238868304691504463e+01,-1.722263390616977219e+01
-9.547738693467340454e+01,2.000000000000000000e+02,-9.750831497034604354e+02,-9.750831497034604354e+02,-5.368685890368075775e+01,-5.368685890368075775e+01,-3.831354483367611863e+01,-9.881464379520413104e+02,-1.267044485623657124e+01,-1.267044485623657124e+01,-1.665911028752689305e+01
-1.055276381909548036e+02,2.000000000000000000e+02,-9.750567105836378232e+02,-9.750567105836378232e+02,-5.432122558051196393e+01,-5.432122558051196393e+01,-3.618768331345557954e+01,-9.890564443582417198e+02,-1.296001487218819648e+01,-1.296001487218819648e+01,-1.607997025562359283e+01
-1.155778894472362026e+02,2.000000000000000000e+02,-9.750328535087674027e+02,-9.750328535087674027e+02,-5.493586985288925462e+01,-5.493586985288925462e+01,-3.413368598369912377e+01,-9.899288672929866379e+02,-1.325321690017088372e+01,-1.325321690017088372e+01,-1.549356619965792703e+01
-1.256281407035176017e+02,2.000000000000000000e+02,-9.750113036340552526e+02,-9.750113036340552526e+02,-5.552632415073617267e+01,-5.552632415073617267e+01,-3.216360292864027315e+01,-9.907611415017735226e+02,-1.354643098700586279e+01,-1.354643098700586279e+01,-1.490713802598823534e+01
-1.356783919597990007e+02,2.000000000000000000e+02,-9.749918189770500021e+02,-9.749918189770500021e+02,-5.608946601561126499e+01,-5.608946601561126499e+01,-3.028584544966317083e+01,-9.915515845650137408e+02,-1.383661285044263423e+01,-1.383661285044263423e+01,-1.432677429911446687e+01
-1.457286432160803997e+02,2.000000000000000000e+02,-9.749741860453249274e+02,-9.749741860453249274e+02,-5.662333878750530403e+01,-5.662333878750530403e+01,-2.850564879768253590e+01,-9.922993015366580494e+02,-1.412128039227621912e+01,-1.412128039227621912e+01,-1.375743921544732373e+01
-1.557788944723617988e+02,2.000000000000000000e+02,-9.749582160994383457e+02,-9.749582160994383457e+02,-5.712695820469464536e+01,-5.712695820469464536e+01,-2.682557134725568915e+01,-9.930040800444785418e+02,-1.439847687499911899e+01,-1.439847687499911899e+01,-1.320304625000182419e+01
-1.658291457286434252e+02,2.000000000000000000e+02,-9.749437419526476560e+02,-9.749437419526476560e+02,-5.760012213106131185e+01,-5.760012213106131185e+01,-2.524598896610021725e+01,-9.936662828664838116e+02,-1.466671943211568419e+01,-1.466671943211568419e+01,-1.266656113576832077e+01
-1.758793969849248242e+02,2.000000000000000000e+02,-9.749306152247563659e+02,-9.749306152247563659e+02,-5.804323473350584095e+01,-5.804323473350584095e+01,-2.376555669981897978e+01,-9.942867433836556756e+02,-1.492494008606809075e+01,-1.492494008606809075e+01,-1.215011982786391265e+01
