offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
4.947236180904522371e+03,6.000000000000000000e+02,-1.513278224740236055e+01,-1.513278224740236055e+01,-2.994321630358699167e+03,-2.994321630358699167e+03,-2.958104159401809596e+00,-3.001874917233961241e+03,-5.035995070652916183e+00,-5.035995070652916183e+00,-2.582850726469244407e+00
4.891959798994975245e+03,6.000000000000000000e+02,-1.513219676224889554e+01,-1.513219676224889554e+01,-2.994316214002894412e+03,-2.994316214002894412e+03,-2.987851498021209196e+00,-3.001857173577257072e+03,-5.035588135620855610e+00,-5.035588135620855610e+00,-2.583664596533576052e+00
4.836683417085427209e+03,6.000000000000000000e+02,-1.513158977897575141e+01,-1.513158977897575141e+01,-2.994310453832763415e+03,-2.994310453832763415e+03,-3.020455175288002003e+00,-3.001837304206802855e+03,-5.035167450908375031e+00,-5.035167450908375031e+00,-2.584505965957949680e+00
4.781407035175879173e+03,6.000000000000000000e+02,-1.513096022729541801e+01,-1.513096022729541801e+01,-2.994304331797019586e+03,-2.994304331797019586e+03,-3.056246808549232696e+00,-3.001815015748381938e+03,-5.034732393401100126e+00,-5.034732393401100126e+00,-2.585376080973190493e+00
4.726130653266332047e+03,6.000000000000000000e+02,-1.513030696901569172e+01,-1.513030696901569172e+01,-2.994297831391055297e+03,-2.994297831391055297e+03,-3.095601614567907056e+00,-3.001789968270841200e+03,-5.034282304476619174e+00,-5.034282304476619174e+00,-2.586276258813760442e+00
4.670854271356784011e+03,6.000000000000000000e+02,-1.512962879275028172e+01,-1.512962879275028172e+01,-2.994290938795583315e+03,-2.994290938795583315e+03,-3.138944417538205744e+00,-3.001761767011344091e+03,-5.033816487588410382e+00,-5.033816487588410382e+00,-2.587207892597708891e+00
4.615577889447235975e+03,6.000000000000000000e+02,-1.512892440814903239e+01,-1.512892440814903239e+01,-2.994283644437080511e+03,-2.994283644437080511e+03,-3.186756394671407033e+00,-3.001729952520439383e+03,-5.033334205586470489e+00,-5.033334205586470489e+00,-2.588172456601768978e+00
4.560301507537688849e+03,6.000000000000000000e+02,-1.512819243954390913e+01,-1.512819243954390913e+01,-2.994275945108174710e+03,-2.994275945108174710e+03,-3.239582583944248473e+00,-3.001693988926173915e+03,-5.032834677907885634e+00,-5.032834677907885634e+00,-2.589171511966402495e+00
4.505025125628140813e+03,6.000000000000000000e+02,-1.512743141903320065e+01,-1.512743141903320065e+01,-2.994267846828272468e+03,-2.994267846828272468e+03,-3.298040140438411427e+00,-3.001653249970526758e+03,-5.032317077452717058e+00,-5.032317077452717058e+00,-2.590206712870277261e+00
4.449748743718592777e+03,6.000000000000000000e+02,-1.512663977884494670e+01,-1.512663977884494670e+01,-2.994259368677723614e+03,-2.994259368677723614e+03,-3.362827264831170115e+00,-3.001607002427585030e+03,-5.031780527284354321e+00,-5.031780527284354321e+00,-2.591279813219891093e+00
4.394472361809044742e+03,6.000000000000000000e+02,-1.512581584296094661e+01,-1.512581584296094661e+01,-2.994250547905376152e+03,-2.994250547905376152e+03,-3.434732629729865483e+00,-3.001554386479162076e+03,-5.031224096936966816e+00,-5.031224096936966816e+00,-2.592392673903040734e+00
4.339195979899497615e+03,6.000000000000000000e+02,-1.512495781787629312e+01,-1.512495781787629312e+01,-2.994241446687698499e+03,-2.994241446687698499e+03,-3.514644980492093396e+00,-3.001494392613933087e+03,-5.030646798557427246e+00,-5.030646798557427246e+00,-2.593547270661192172e+00
4.283919597989949580e+03,6.000000000000000000e+02,-1.512406378240575577e+01,-1.512406378240575577e+01,-2.994232161009255833e+03,-2.994232161009255833e+03,-3.603562367378188469e+00,-3.001425834654863138e+03,-5.030047582569523001e+00,-5.030047582569523001e+00,-2.594745702639864593e+00
4.228643216080401544e+03,6.000000000000000000e+02,-1.512313167647448608e+01,-1.512313167647448608e+01,-2.994222832228915649e+03,-2.994222832228915649e+03,-3.001347318646881376e+03,-3.702600147902426642e+00,-5.029425333048493485e+00,-5.029425333048493485e+00,-2.595990201687573773e+00
4.173366834170854418e+03,6.000000000000000000e+02,-1.512215928860223357e+01,-1.512215928860223357e+01,-2.994213661981041696e+03,-2.994213661981041696e+03,-3.812996449427597412e+00,-3.001257207616832602e+03,-5.028778862654689874e+00,-5.028778862654689874e+00,-2.597283142472401885e+00
4.118090452261306382e+03,6.000000000000000000e+02,-1.512114424213586972e+01,-1.512114424213586972e+01,-2.994204931101980947e+03,-2.994204931101980947e+03,-3.936113163570982731e+00,-3.001153582753763658e+03,-5.028106907136134396e+00,-5.028106907136134396e+00,-2.598627053507268858e+00
4.062814070351758801e+03,6.000000000000000000e+02,-1.512008397985891861e+01,-1.512008397985891861e+01,-2.994197023210792850e+03,-2.994197023210792850e+03,-4.073429716952785995e+00,-3.001034202507300506e+03,-5.027408119305619039e+00,-5.027408119305619039e+00,-2.600024629167549950e+00
4.007537688442211675e+03,6.000000000000000000e+02,-1.511897574691920454e+01,-1.511897574691920454e+01,-2.994190453306091058e+03,-2.994190453306091058e+03,-4.226525797597087575e+00,-3.000896462701936798e+03,-5.026681062478928652e+00,-5.026681062478928652e+00,-2.601478742812834533e+00
3.952261306532663184e+03,6.000000000000000000e+02,-1.511781657174469728e+01,-1.511781657174469728e+01,-4.397047915225545722e+00,-2.994185901096624548e+03,-2.994185901096624548e+03,-3.000737363353597630e+03,-5.025924203325757844e+00,-5.025924203325757844e+00,-2.602992461123670775e+00
3.896984924623115603e+03,6.000000000000000000e+02,-1.511660324466720340e+01,-1.511660324466720340e+01,-4.586653207999279225e+00,-2.994184247501164464e+03,-2.994184247501164464e+03,-3.000553491905889587e+03,-5.025135903998489084e+00,-5.025135903998489084e+00,-2.604569059782270379e+00
3.841708542713568022e+03,6.000000000000000000e+02,-1.511533229406450118e+01,-1.511533229406450118e+01,-4.796922480516202292e+00,-2.994186610458836640e+03,-2.994186610458836640e+03,-3.000341038619234951e+03,-5.024314413561114634e+00,-5.024314413561114634e+00,-2.606212040645670580e+00
3.786432160804019986e+03,6.000000000000000000e+02,-1.511399995939882501e+01,-1.511399995939882501e+01,-5.029233490452612365e+00,-2.994194372423050481e+03,-2.994194372423050481e+03,-3.000095868350211731e+03,-5.023457858604160720e+00,-5.023457858604160720e+00,-2.607925150568720429e+00
3.731155778894472405e+03,6.000000000000000000e+02,-1.511260216090795439e+01,-1.511260216090795439e+01,-5.284585745675542512e+00,-2.994209186235764264e+03,-2.994209186235764264e+03,-2.999813684066555652e+03,-5.022564232855984301e+00,-5.022564232855984301e+00,-2.609712402064507497e+00
