Folder Number, Corr. Offset (Hz), SLP (Hz), R1p_MC, R1p_err_MC, red. chi-sq
1023,525,600,6.84642752201,0.201090998647,2.30640727294
1024,700,600,5.29170894764,0.192937211638,2.61174089016
1025,875,600,4.52386911033,0.196606306798,2.57139229513
1026,1050,600,4.0255078659,0.181051054805,2.96227378758
1027,1225,600,3.5371253812,0.171309514064,2.10269026468
1028,1400,600,3.38089729272,0.181791793267,1.49189456016
1029,1575,600,3.12002818641,0.17097123876,5.44339560391
1030,1750,600,3.01217432655,0.169211809251,2.88466780782
1031,1925,600,2.87315223798,0.177170719524,2.28412686308
1032,2100,600,2.93526421486,0.17138180766,3.0405799113
1041,-291,1000,11.5780792467,0.271126918547,1.44428329618
1042,-583,1000,10.7089759248,0.258466840621,0.485090525339
1043,-875,1000,9.53935287399,0.224042924961,1.22270193882
1044,-1166,1000,8.08339878073,0.21193649942,2.14704085622
1045,-1458,1000,6.69188867337,0.214213518696,2.79213219246
1046,-1750,1000,5.86040587575,0.206008580778,1.387031524
1047,-2041,1000,5.24153028156,0.179173681484,1.42385314164
1048,-2333,1000,4.33106783512,0.178917243409,2.24230514192
1049,-2625,1000,4.16394696269,0.176086063393,3.43129523374
1050,-2916,1000,3.86803612206,0.159796019454,2.62378636034
1051,-3208,1000,3.60538623471,0.177543948861,1.76913210127
1052,-3500,1000,3.49958709507,0.174850907353,3.19808702137
1061,291,1000,9.82757512118,0.247932842773,1.41725855728
1062,583,1000,7.85737553582,0.216013783409,2.03250071547
1063,875,1000,6.16275862814,0.1989847211,2.80024553877
1064,1166,1000,5.02928328647,0.203656875007,3.0872049212
1065,1458,1000,4.35758005319,0.178514545983,2.83485629517
1066,1750,1000,3.67591688812,0.168762696875,2.25539630281
1067,2041,1000,3.36170549403,0.166345339201,4.6989857234
1068,2333,1000,3.18423381506,0.162231395664,4.8506200076
1069,2625,1000,3.09202983806,0.156059039823,2.28768828565
1070,2916,1000,2.91291808655,0.168760627194,2.37918194406
1071,3208,1000,2.63893591653,0.177829072404,3.89074075813
1072,3500,1000,2.83416426539,0.157324402556,2.77503091974
1081,-312,1250,11.2121693975,0.29374431371,1.20080555378
1082,-625,1250,10.5330023546,0.265958740637,1.47572734638
1083,-937,1250,9.59533139386,0.246975977251,0.560342834823
1084,-1250,1250,8.23251581748,0.228855127523,0.708712144161
1085,-1562,1250,7.32055005232,0.215893696919,2.11588890614
1086,-1875,1250,6.23121325703,0.210887791227,1.62826720246
1087,-2187,1250,5.69619944622,0.201912948117,1.25867611379
1088,-2500,1250,5.1094918384,0.172120520681,1.34261104678
1089,-2812,1250,4.63156322208,0.179171019138,1.41949474869
1090,-3125,1250,4.16737400844,0.171914991672,2.36749966879
1091,-3437,1250,3.91083038409,0.17707467199,0.468308515471
1092,-3750,1250,3.601256665,0.180095970489,1.69864068842
1101,312,1250,9.3866989457,0.256601334499,1.6087483793
1102,625,1250,7.93306545512,0.223056594958,3.5638133621
1103,937,1250,6.4569193208,0.218360869097,2.56885486864
1104,1250,1250,5.5594928113,0.203270703585,0.946441053703
1105,1562,1250,4.6779205964,0.184563178626,2.1720817296
1106,1875,1250,3.90093774054,0.182378957865,2.13243238833
1107,2187,1250,3.78634478045,0.172918963837,5.77845706966
1108,2500,1250,3.49169589026,0.170194995163,4.13280544764
1109,2812,1250,3.32844638241,0.163728633095,2.43187808828
1110,3125,1250,3.03042197892,0.168988926281,2.32467903942
1111,3437,1250,2.89060025358,0.174495497779,2.37368887766
1112,3750,1250,2.89128153821,0.16601494963,3.46132049056
